Hystrix africaeaustralis,Porcupine
Thryonomys swinderianus,Greater Cane Rat
Thryonomys gregorianus,Lesser Cane Rat
Petromus typicus,Dassie Rat
Zelotomys woosnami,Woosnam's Desert Rat
Mystromys albicaudatus,Whitetailed Mouse
Saccostomus campestris,Pouched Mouse
Cricetomys gambianus,Giant Rat
Steatomys pratensis,Fat Mouse
Steatomys parvus,Tiny Fat Mouse
Steatomys krebsii,Kreb's Fat Mouse
Dendromus nyikae,Nyika Climbing Mouse
Dendromus melanotis,Grey Climbing Mouse
Dendromus mesomelas,Brant's Climbing Mouse
Dendromus mystacalis,Chestnut Climbing Mouse
Malacothrix typica,Large-eared Mouse
Desmodillus auricularis,Shorttailed Gerbil
Gerbillurus paeba,Hairyfooted Gerbil
Gerbillurus vallinus,Brushtailed Hairyfooted Gerbil
Gerbillurus tytonis,Dune Hairyfooted Gerbil
Gerbillurus setzeri,Setzer's Hairyfooted Gerbil
Tatera leucogaster,Bushveld Gerbil
Tatera afra,Cape Gerbil
Tatera brantsii,Highveld Gerbil
Tatera inclusa,Gorongosa Gerbil
Acomys spinosissimus,Spiny Mouse
Acomys subspinosus,Cape Spiny Mouse
Aethomys namaquensis,Namaqua Rock Mouse
Aethomys granti,Grant's Rock Mouse
Aethomys chrysophilus,Red Veld Rat
Dasymus incomtus,Water Rat
Rhabdomys pumilio,Striped Mouse
Lemniscomys rosalia,Singlestriped Mouse
Mus setzeri,Setzer's Pygmy Mouse
Mus triton,Greybellied Pygmy Mouse
Mus indutus,Desert Pygmy Mouse
Mus minutoides,Pygmy Mouse
Mus sorella,Thomas's Pygmy Mouse
Mus muscullus,House Mouse
Thaliomys paedulcus,Tree Mouse
Grammomys dolichurus,Woodland Mouse
Grammomys cometes,Mozambique Woodland Mouse
Pelomys fallax,Groovetoothed Rat
Mastomys natalensis,Natal Multimammate Mouse
Mastomys coucha,Multimammate Mouse
Mastomys shortridgei,Shortridge's Mouse
Mastomys verreauxii,Verreaux's Mouse
Rattus rattus,House Rat
Rattus norvegicus,Brown Rat
Parotomys brantsii,Brant's Whistling Rat
Parotomys littledalei,Littledale's Whistling Rat
Otomys laminatus,Laminate Vlei Rat
Otomys angoniensis,Angoni Vlei Rat
Otomys saundersiae,Saunder's Vlei Rat
Otomys irroratus,Vlei Rat
Otomys sloggetti,Slogget's Rat
Otomys unisulcatus,Bush Karoo Rat
Petromyscus collinus,Pygmy Rock Mouse
Vulpes chama,Cape Fox
Otocyon megalotis,Bateared Fox
Canis mesomelas,Blackbacked Jackal
Canis adustus,Sidestriped Jackal
Lycaon pictus,Wild Dog
Aonyx capensis,Cape Clawless Otter
Lutra maculicollis,Spottednecked Otter
Mellivora capensis,Honey Badger
Poecilogale albinucha,Striped Weasel
Ictonyx striatus,Striped Polecat
Mungos mungo,Banded Mongoose
Rhynchogale melleri,Meller's Mongoose
Bdeogale crassicauda,Bushytailed Mongoose
Paracynictis selousi,Selous's Mongoose
Galerella pulverulenta,Small Grey Mongoose
Herpestes ichneumon,Large Grey Mongoose
Galerella sanguinea,Slender Mongoose
Atilax paludinosus,Water Mongoose
Helogale parvula,Dwarf Mongoose
Ichneumia albicauda,Whitetailed Mongoose
Cynictis penicillata,Yellow Mongoose
Suricata suricatta,Suricate
Genetta genetta,Smallspotted Genet
Genetta tigrina,Largespotted Genet
Civettictis civetta,Civet
Nandinia binotata,Tree Civet
Crocuta crocuta,Spotted Hyena
Hyaena brunnea,Brown Hyena
Proteles cristatus,Aardwolf
Felis lybica,African Wild Cat
Felis nigripes,Small Spotted Cat
Felis serval,Serval
Felis caracal,Caracal
Acinonyx jubatus,Cheetah
Panthera leo,Lion
Panthera pardus,Leopard
Orycteropus afer,Aardvark
Loxodonta africana,Elephant
Procavia capensis,Rock Dassie
Procavia welwitschii,Kaokoveld Rock Dassie
Heterohyrax brucei,Yellowspotted Rock Dassie
Dendrohyrax arboreus,Tree Dassie
Equus zebra,Cape Mountain Zebra
Equus hartmannae,Hartmann's Mountain Zebra
Equus burchellii,Burchell's Zebra
Diceros bicornis,Black Rhino
Ceratotherium simum,White Rhino
Phacochoerus aethiopicus,Warthog
Potamochoerus porcus,Bushpig
Hippopotamus amphibius,Hippopotamus
Giraffa camelopardalis,Giraffe
Syncerus caffer,Buffalo
Taurotragus oryx,Eland
Tragelaphus strepsiceros,Kudu
Tragelaphus angasii,Nyala
Tragelaphus spekei,Sitatunga
Tragelaphus scriptus,Bushbuck
Hippotragus equinus,Roan
Hippotragus niger,Sable
Oryx gazella,Gemsbok
Kobus ellipsiprymnus,Waterbuck
Kobus leche,Lechwe
Kobus vardonii,Puku
Redunca fulvorufula,Reedbuck
Redunca arundinum,Mountain Reedbuck
Pelea capreolus,Grey Rhebok
Connochaetes gnou,Black Wildebeest
Connochaetes taurinus,Blue Wildebeest
Alcelaphus buselaphus,Red Haartebeest
Sigmoceros lichtensteinii,Lichtenstein's Hartebeest
Damaliscus dorcas,Bontebok
Damaliscus phillipsi,Blesbok
Damaliscus lunatus,Tsessebe
Aepyceros melampus,Impala
Antidorcas marsuplialis,Springbok
Madoqua kirkii,Damara Dikdik
Neotragus moschatus,Suni
Oreotragus oreotragus,Klipspringer
Raphicerus campestris,Steenbok
Ourebia ourebi,Oribi
Raphicerus melanotis,Cape Grysbok
Raphicerus sharpei,Sharpe's Grysbok
Cephalophus natalensis,Red Duiker
Philantomba monticola,Blue Duiker
Sylvicapra grimmia,Common Duiker
Cervus dama,European Fallow Deer
Hemitragus jemlahicus,Himalayan Tahr
Balaenoptera acutorostrata,Minke Whale
Balaenoptera edeni,Bryde's Whale
Balaenoptera borealis,Sei Whale
Balaenoptera physalus,Fin Whale
Balaenoptera musculus,Blue Whale
Megaptera novaeangliae,Humpback Whale
Balaena glacialis,Southern Right Whale
Caperea marginata,Pygmy Right Whale
Berardius arnuxii,Arnoux's Beaked Whale
Hyperoodon planifrons,Southern Bottlenose Whale
Ziphius cavirostris,Cuvier's Beaked Whale
Mesoplodon densirostris,Blainville's Beaked Whale
Mesoplodon grayi,Gray's Beaked Whale
Mesoplodon hectori,Hector's Beaked Whale
Mesoplodon layardii,Layard's Beaked Whale
Mesoplodon mirus,True's Beaked Whale
Kogia breviceps,Pygmy Sperm Whale
Kogia simus,Dwarf Sperm Whale
Physeter macrocephalus,Sperm Whale
Lissodelphis peronii,Southern Right Whale Dolphin
Orcinus orca,Killer Whale
Pseudorca crassidens,False Killer Whale
Feresa attenuata,Pygmy Killer Whale
Globicephala macrorhyncus,Shortfinned Pilot Whale
Globicephala melaena,Longfinned Pilot Whale
Peponocephala electra,Melonheaded Whale
Grampus griseus,Risso's Dolphin
Cephalorhynchus heavisidii,Heaviside's Dolphin
Lagenodelphis hosei,Fraser's Dolphin
Lagenorhynchus obscurus,Dusky Dolphin
Sousa plumbea,Humpback Dolphin
Stenella attenuata,Spotted Dolphin
Stenella coeruleoalba,Striped Dolphin
Stenella longirostris,Longsnouted Spinner Dolphin
Tursiops truncatus,Bottlenosed Dolphin
Delphinus delphis,Common Dolphin
Steno bredanensis,Roughtoothed Dolphin
Dugong dugon,Dugong
Arctocephalus pusillus,Cape Fur Seal
Arctocephalus tropicalis,Subantarctic Fur Seal
Mirounga leonina,Southern Elephant Seal
Lobodon carcinophagus,Crabeater Seal
Hydrurga leptonyx,Leopard Seal
